Country,entry,date
Sweden,33167.0,2014-01-01
Venezuela,55785.0,2014-01-01
Taiwan,37751.0,2014-01-01
Switzerland,25033.0,2014-01-01
Dominican Republic,12820.0,2014-01-01
Ecuador,15013.0,2014-01-01
Israel,19550.0,2014-01-01
Chile,15872.0,2014-01-01
Denmark,17296.0,2014-01-01
Costa Rica,22271.0,2014-01-01
Philippines,9763.0,2014-01-01
New Zealand,14955.0,2014-01-01
Peru,15795.0,2014-01-01
Belgium,14282.0,2014-01-01
Jamaica,9098.0,2014-01-01
Norway,17302.0,2014-01-01
Bahamas,11707.0,2014-01-01
Guatemala,11398.0,2014-01-01
Russia,36034.0,2014-01-01
Honduras,9156.0,2014-01-01
El Salvador,5410.0,2014-01-01
Poland,10154.0,2014-01-01
Austria,10585.0,2014-01-01
Nigeria,7814.0,2014-01-01
Saudi Arabia,37558.0,2014-01-01
Panama,14635.0,2014-01-01
Trinidad And Tobago,6855.0,2014-01-01
Singapore,9470.0,2014-01-01
Turkey,16333.0,2014-01-01
Hong Kong,10586.0,2014-01-01
Portugal,6564.0,2014-01-01
Finland,10414.0,2014-01-01
South Africa,6941.0,2014-01-01
Haiti,5840.0,2014-01-01
Vietnam,5278.0,2014-01-01
United Kingdom,198407.0,2013-01-01
Japan,295044.0,2013-01-01
"China, PRC",173113.0,2013-01-01
South Korea,135766.0,2013-01-01
Brazil,207943.0,2013-01-01
Germany,97466.0,2013-01-01
France,72549.0,2013-01-01
India,59790.0,2013-01-01
Australia,89753.0,2013-01-01
Italy,50221.0,2013-01-01
Argentina,66829.0,2013-01-01
Colombia,45772.0,2013-01-01
Spain,34238.0,2013-01-01
Netherlands,31337.0,2013-01-01
Ireland,19041.0,2013-01-01
Sweden,28212.0,2013-01-01
Venezuela,46246.0,2013-01-01
Taiwan,32044.0,2013-01-01
Switzerland,22566.0,2013-01-01
Dominican Republic,13808.0,2013-01-01
Ecuador,11735.0,2013-01-01
Israel,19090.0,2013-01-01
Chile,16207.0,2013-01-01
Denmark,15180.0,2013-01-01
Costa Rica,20466.0,2013-01-01
Philippines,9020.0,2013-01-01
New Zealand,12694.0,2013-01-01
Peru,14788.0,2013-01-01
Belgium,14125.0,2013-01-01
Jamaica,8811.0,2013-01-01
Norway,14639.0,2013-01-01
Bahamas,13536.0,2013-01-01
Guatemala,10915.0,2013-01-01
Russia,27512.0,2013-01-01
Honduras,8254.0,2013-01-01
El Salvador,5222.0,2013-01-01
Poland,8076.0,2013-01-01
Austria,10130.0,2013-01-01
Nigeria,6849.0,2013-01-01
Saudi Arabia,30859.0,2013-01-01
Panama,14706.0,2013-01-01
Trinidad And Tobago,7065.0,2013-01-01
Singapore,11058.0,2013-01-01
Turkey,15978.0,2013-01-01
Hong Kong,11871.0,2013-01-01
Portugal,5841.0,2013-01-01
Finland,9184.0,2013-01-01
South Africa,6329.0,2013-01-01
Haiti,5134.0,2013-01-01
Vietnam,4131.0,2013-01-01
United Kingdom,185546.0,2012-01-01
Japan,279921.0,2012-01-01
"China, PRC",161730.0,2012-01-01
South Korea,123371.0,2012-01-01
Brazil,172897.0,2012-01-01
Germany,93795.0,2012-01-01
France,68740.0,2012-01-01
India,53466.0,2012-01-01
Australia,76580.0,2012-01-01
Italy,47834.0,2012-01-01
Argentina,51889.0,2012-01-01
Colombia,31914.0,2012-01-01
Spain,31651.0,2012-01-01
Netherlands,31294.0,2012-01-01
Ireland,15938.0,2012-01-01
Sweden,25980.0,2012-01-01
Venezuela,33963.0,2012-01-01
Taiwan,34115.0,2012-01-01
Switzerland,21753.0,2012-01-01
Dominican Republic,13642.0,2012-01-01
Ecuador,9149.0,2012-01-01
Israel,18732.0,2012-01-01
Chile,13405.0,2012-01-01
Denmark,14868.0,2012-01-01
Costa Rica,18983.0,2012-01-01
Philippines,7918.0,2012-01-01
New Zealand,10656.0,2012-01-01
Peru,11394.0,2012-01-01
Belgium,13283.0,2012-01-01
Jamaica,7788.0,2012-01-01
Norway,13533.0,2012-01-01
Bahamas,11508.0,2012-01-01
Guatemala,10221.0,2012-01-01
Russia,20107.0,2012-01-01
Honduras,7656.0,2012-01-01
El Salvador,4652.0,2012-01-01
Poland,8083.0,2012-01-01
Austria,9578.0,2012-01-01
Nigeria,4797.0,2012-01-01
Saudi Arabia,25765.0,2012-01-01
Panama,12417.0,2012-01-01
Trinidad And Tobago,6986.0,2012-01-01
Singapore,10261.0,2012-01-01
Turkey,14560.0,2012-01-01
Hong Kong,13500.0,2012-01-01
Portugal,5433.0,2012-01-01
Finland,8610.0,2012-01-01
South Africa,5871.0,2012-01-01
Haiti,4658.0,2012-01-01
Vietnam,4324.0,2012-01-01
United Kingdom,197730.0,2011-01-01
Japan,277359.0,2011-01-01
"China, PRC",103137.0,2011-01-01
South Korea,125025.0,2011-01-01
Brazil,146823.0,2011-01-01
Germany,88670.0,2011-01-01
France,73338.0,2011-01-01
India,53317.0,2011-01-01
Australia,72569.0,2011-01-01
Italy,50546.0,2011-01-01
Argentina,43232.0,2011-01-01
Colombia,30577.0,2011-01-01
Spain,33990.0,2011-01-01
Netherlands,30364.0,2011-01-01
Ireland,18789.0,2011-01-01
Sweden,25150.0,2011-01-01
Venezuela,29699.0,2011-01-01
Taiwan,29857.0,2011-01-01
Switzerland,20650.0,2011-01-01
Dominican Republic,14793.0,2011-01-01
Ecuador,9348.0,2011-01-01
Israel,18486.0,2011-01-01
Chile,13356.0,2011-01-01
Denmark,13648.0,2011-01-01
Costa Rica,17218.0,2011-01-01
Philippines,7810.0,2011-01-01
New Zealand,12106.0,2011-01-01
Peru,10353.0,2011-01-01
Belgium,13612.0,2011-01-01
Jamaica,8474.0,2011-01-01
Norway,12315.0,2011-01-01
Bahamas,12045.0,2011-01-01
Guatemala,10126.0,2011-01-01
Russia,19231.0,2011-01-01
Honduras,7146.0,2011-01-01
El Salvador,4889.0,2011-01-01
Poland,7468.0,2011-01-01
Austria,8881.0,2011-01-01
Nigeria,4867.0,2011-01-01
Saudi Arabia,16267.0,2011-01-01
Panama,10510.0,2011-01-01
Trinidad And Tobago,6736.0,2011-01-01
Singapore,10426.0,2011-01-01
Turkey,13079.0,2011-01-01
Hong Kong,12250.0,2011-01-01
Portugal,5532.0,2011-01-01
Finland,8469.0,2011-01-01
South Africa,5890.0,2011-01-01
Haiti,5081.0,2011-01-01
Vietnam,3537.0,2011-01-01
United Kingdom,312569.0,2019-02-01
Japan,295492.0,2019-02-01
"China, PRC",207495.0,2019-02-01
South Korea,165478.0,2019-02-01
Germany,112731.0,2019-02-01
Brazil,161186.0,2019-02-01
France,134512.0,2019-02-01
India,72624.0,2019-02-01
Australia,64747.0,2019-02-01
Italy,54626.0,2019-02-01
Spain,47631.0,2019-02-01
Colombia,50396.0,2019-02-01
Argentina,70393.0,2019-02-01
Netherlands,42356.0,2019-02-01
Taiwan,33804.0,2019-02-01
Ireland,31956.0,2019-02-01
Switzerland,27318.0,2019-02-01
Israel,23163.0,2019-02-01
Ecuador,36123.0,2019-02-01
Dominican Republic,23912.0,2019-02-01
Sweden,35488.0,2019-02-01
Chile,38349.0,2019-02-01
Venezuela,28613.0,2019-02-01
Denmark,24096.0,2019-02-01
Peru,27753.0,2019-02-01
Philippines,14435.0,2019-02-01
New Zealand,12391.0,2019-02-01
Costa Rica,19369.0,2019-02-01
Belgium,16444.0,2019-02-01
Jamaica,14002.0,2019-02-01
Bahamas,14681.0,2019-02-01
Norway,22467.0,2019-02-01
Russia,14912.0,2019-02-01
Guatemala,16054.0,2019-02-01
Poland,12471.0,2019-02-01
El Salvador,11818.0,2019-02-01
Austria,13400.0,2019-02-01
Honduras,10653.0,2019-02-01
Panama,20011.0,2019-02-01
Trinidad And Tobago,8080.0,2019-02-01
Singapore,9729.0,2019-02-01
Turkey,9947.0,2019-02-01
Saudi Arabia,5427.0,2019-02-01
Hong Kong,9430.0,2019-02-01
Portugal,8265.0,2019-02-01
Nigeria,6962.0,2019-02-01
Finland,13906.0,2019-02-01
Vietnam,6087.0,2019-02-01
Czech Republic,8326.0,2019-02-01
United Arab Emirates,6476.0,2019-02-01
United Kingdom,277551.0,2018-02-01
Japan,286421.0,2018-02-01
"China, PRC",245575.0,2018-02-01
South Korea,168171.0,2018-02-01
Brazil,160902.0,2018-02-01
Germany,110000.0,2018-02-01
France,119171.0,2018-02-01
India,64342.0,2018-02-01
Australia,65775.0,2018-02-01
Italy,55786.0,2018-02-01
Argentina,95543.0,2018-02-01
Colombia,44089.0,2018-02-01
Spain,42681.0,2018-02-01
Netherlands,40630.0,2018-02-01
Ireland,29610.0,2018-02-01
Sweden,40142.0,2018-02-01
Venezuela,32181.0,2018-02-01
Taiwan,35454.0,2018-02-01
Switzerland,24200.0,2018-02-01
Dominican Republic,20700.0,2018-02-01
Ecuador,29485.0,2018-02-01
Israel,22281.0,2018-02-01
Chile,34996.0,2018-02-01
Denmark,24730.0,2018-02-01
Costa Rica,16403.0,2018-02-01
Philippines,13491.0,2018-02-01
New Zealand,13184.0,2018-02-01
Peru,23794.0,2018-02-01
Belgium,17254.0,2018-02-01
Jamaica,13310.0,2018-02-01
Norway,21786.0,2018-02-01
Bahamas,13534.0,2018-02-01
Guatemala,12764.0,2018-02-01
Russia,15776.0,2018-02-01
Honduras,10917.0,2018-02-01
El Salvador,9185.0,2018-02-01
Poland,11883.0,2018-02-01
Austria,12862.0,2018-02-01
Nigeria,9422.0,2018-02-01
Saudi Arabia,5454.0,2018-02-01
Panama,18222.0,2018-02-01
Trinidad And Tobago,8649.0,2018-02-01
Singapore,7754.0,2018-02-01
Turkey,9050.0,2018-02-01
Hong Kong,10114.0,2018-02-01
Portugal,9068.0,2018-02-01
Finland,13447.0,2018-02-01
South Africa,5917.0,2018-02-01
Haiti,7759.0,2018-02-01
Vietnam,6837.0,2018-02-01
United Kingdom,262524.0,2017-02-01
Japan,293445.0,2017-02-01
"China, PRC",184985.0,2017-02-01
South Korea,171611.0,2017-02-01
Brazil,121550.0,2017-02-01
Germany,116678.0,2017-02-01
France,113022.0,2017-02-01
India,63354.0,2017-02-01
Australia,66949.0,2017-02-01
Italy,59642.0,2017-02-01
Argentina,81144.0,2017-02-01
Colombia,42105.0,2017-02-01
Spain,45669.0,2017-02-01
Netherlands,40655.0,2017-02-01
Ireland,29358.0,2017-02-01
Sweden,40330.0,2017-02-01
Venezuela,27902.0,2017-02-01
Taiwan,30032.0,2017-02-01
Switzerland,20348.0,2017-02-01
Dominican Republic,19686.0,2017-02-01
Ecuador,26148.0,2017-02-01
Israel,21859.0,2017-02-01
Chile,33564.0,2017-02-01
Denmark,24659.0,2017-02-01
Costa Rica,13958.0,2017-02-01
Philippines,14421.0,2017-02-01
New Zealand,12345.0,2017-02-01
Peru,22606.0,2017-02-01
Belgium,16260.0,2017-02-01
Jamaica,12787.0,2017-02-01
Norway,23026.0,2017-02-01
Bahamas,14059.0,2017-02-01
Guatemala,11535.0,2017-02-01
Russia,18847.0,2017-02-01
Honduras,10180.0,2017-02-01
El Salvador,8771.0,2017-02-01
Poland,12105.0,2017-02-01
Austria,14015.0,2017-02-01
Nigeria,9168.0,2017-02-01
Saudi Arabia,4621.0,2017-02-01
Panama,17135.0,2017-02-01
Trinidad And Tobago,9407.0,2017-02-01
Singapore,7319.0,2017-02-01
Turkey,9897.0,2017-02-01
Hong Kong,4939.0,2017-02-01
Portugal,10333.0,2017-02-01
Finland,14584.0,2017-02-01
South Africa,5616.0,2017-02-01
Haiti,8125.0,2017-02-01
Vietnam,4192.0,2017-02-01
United Kingdom,281040.0,2016-02-01
Japan,301323.0,2016-02-01
"China, PRC",210772.0,2016-02-01
South Korea,150529.0,2016-02-01
Brazil,127326.0,2016-02-01
Germany,118443.0,2016-02-01
France,107629.0,2016-02-01
India,57103.0,2016-02-01
Australia,70774.0,2016-02-01
Italy,52487.0,2016-02-01
Argentina,71000.0,2016-02-01
Colombia,42417.0,2016-02-01
Spain,38599.0,2016-02-01
Netherlands,39625.0,2016-02-01
Ireland,23207.0,2016-02-01
Sweden,40383.0,2016-02-01
Venezuela,32357.0,2016-02-01
Taiwan,37622.0,2016-02-01
Switzerland,27167.0,2016-02-01
Dominican Republic,18133.0,2016-02-01
Ecuador,33090.0,2016-02-01
Israel,21668.0,2016-02-01
Chile,33974.0,2016-02-01
Denmark,24652.0,2016-02-01
Costa Rica,14203.0,2016-02-01
Philippines,12228.0,2016-02-01
New Zealand,11624.0,2016-02-01
Peru,25572.0,2016-02-01
Belgium,17138.0,2016-02-01
Jamaica,13776.0,2016-02-01
Norway,21526.0,2016-02-01
Bahamas,12819.0,2016-02-01
Guatemala,11814.0,2016-02-01
Russia,15179.0,2016-02-01
Honduras,9595.0,2016-02-01
El Salvador,9635.0,2016-02-01
Poland,9910.0,2016-02-01
Austria,13180.0,2016-02-01
Nigeria,8868.0,2016-02-01
Saudi Arabia,7057.0,2016-02-01
Panama,19307.0,2016-02-01
Trinidad And Tobago,9485.0,2016-02-01
Singapore,8109.0,2016-02-01
Turkey,11851.0,2016-02-01
Hong Kong,9206.0,2016-02-01
Portugal,6552.0,2016-02-01
Finland,14670.0,2016-02-01
South Africa,5646.0,2016-02-01
Haiti,8563.0,2016-02-01
Vietnam,5395.0,2016-02-01
United Kingdom,249942.0,2015-02-01
Japan,292450.0,2015-02-01
"China, PRC",202542.0,2015-02-01
South Korea,118912.0,2015-02-01
Brazil,171284.0,2015-02-01
Germany,116104.0,2015-02-01
France,108396.0,2015-02-01
India,53274.0,2015-02-01
Australia,67460.0,2015-02-01
Italy,47842.0,2015-02-01
Argentina,53488.0,2015-02-01
Colombia,41297.0,2015-02-01
Spain,34970.0,2015-02-01
Netherlands,36257.0,2015-02-01
Ireland,23129.0,2015-02-01
Sweden,41584.0,2015-02-01
Venezuela,33330.0,2015-02-01
Taiwan,32075.0,2015-02-01
Switzerland,25016.0,2015-02-01
Dominican Republic,14847.0,2015-02-01
Ecuador,27212.0,2015-02-01
Israel,20025.0,2015-02-01
Chile,29560.0,2015-02-01
Denmark,23324.0,2015-02-01
Costa Rica,10741.0,2015-02-01
Philippines,9947.0,2015-02-01
New Zealand,11603.0,2015-02-01
Peru,22554.0,2015-02-01
Belgium,16662.0,2015-02-01
Jamaica,11586.0,2015-02-01
Norway,24010.0,2015-02-01
Bahamas,11270.0,2015-02-01
Guatemala,10642.0,2015-02-01
Russia,15184.0,2015-02-01
Honduras,8021.0,2015-02-01
El Salvador,7312.0,2015-02-01
Poland,9553.0,2015-02-01
Austria,12727.0,2015-02-01
Nigeria,7877.0,2015-02-01
Saudi Arabia,9580.0,2015-02-01
Panama,18729.0,2015-02-01
Trinidad And Tobago,8871.0,2015-02-01
Singapore,7241.0,2015-02-01
Turkey,9568.0,2015-02-01
Hong Kong,9086.0,2015-02-01
Portugal,6026.0,2015-02-01
Finland,14183.0,2015-02-01
South Africa,5383.0,2015-02-01
Haiti,7528.0,2015-02-01
Vietnam,5014.0,2015-02-01
United Kingdom,244090.0,2014-02-01
Japan,269396.0,2014-02-01
"China, PRC",121639.0,2014-02-01
South Korea,83750.0,2014-02-01
Brazil,152669.0,2014-02-01
Germany,109407.0,2014-02-01
France,105001.0,2014-02-01
India,45619.0,2014-02-01
Australia,65371.0,2014-02-01
Italy,47691.0,2014-02-01
Argentina,64050.0,2014-02-01
Colombia,39064.0,2014-02-01
Spain,34430.0,2014-02-01
Netherlands,35148.0,2014-02-01
Ireland,23633.0,2014-02-01
Sweden,35917.0,2014-02-01
Venezuela,53952.0,2014-02-01
Taiwan,21933.0,2014-02-01
Switzerland,26118.0,2014-02-01
Dominican Republic,13246.0,2014-02-01
Ecuador,20616.0,2014-02-01
Israel,18264.0,2014-02-01
Chile,21024.0,2014-02-01
Denmark,19653.0,2014-02-01
Costa Rica,10140.0,2014-02-01
Philippines,9925.0,2014-02-01
New Zealand,10765.0,2014-02-01
Peru,20469.0,2014-02-01
Belgium,15309.0,2014-02-01
Jamaica,8712.0,2014-02-01
Norway,22262.0,2014-02-01
Bahamas,10899.0,2014-02-01
Guatemala,10451.0,2014-02-01
Russia,22710.0,2014-02-01
Honduras,7458.0,2014-02-01
El Salvador,6181.0,2014-02-01
Poland,9786.0,2014-02-01
Austria,13046.0,2014-02-01
Nigeria,6531.0,2014-02-01
Saudi Arabia,7982.0,2014-02-01
Panama,16046.0,2014-02-01
Trinidad And Tobago,6694.0,2014-02-01
Singapore,7623.0,2014-02-01
Turkey,9561.0,2014-02-01
Hong Kong,6457.0,2014-02-01
Portugal,5999.0,2014-02-01
Finland,13259.0,2014-02-01
South Africa,5450.0,2014-02-01
Haiti,6148.0,2014-02-01
Vietnam,3378.0,2014-02-01
United Kingdom,241356.0,2013-02-01
Japan,327932.0,2013-02-01
"China, PRC",122672.0,2013-02-01
South Korea,91720.0,2013-02-01
Brazil,138919.0,2013-02-01
Germany,109111.0,2013-02-01
France,91468.0,2013-02-01
India,44335.0,2013-02-01
Australia,67968.0,2013-02-01
Italy,44043.0,2013-02-01
Argentina,57883.0,2013-02-01
Colombia,35506.0,2013-02-01
Spain,33861.0,2013-02-01
Netherlands,35155.0,2013-02-01
Ireland,21066.0,2013-02-01
Sweden,31967.0,2013-02-01
Venezuela,46631.0,2013-02-01
Taiwan,29916.0,2013-02-01
Switzerland,25454.0,2013-02-01
Dominican Republic,13324.0,2013-02-01
Ecuador,21995.0,2013-02-01
Israel,15886.0,2013-02-01
Chile,23143.0,2013-02-01
Denmark,18693.0,2013-02-01
Costa Rica,9558.0,2013-02-01
Philippines,10007.0,2013-02-01
New Zealand,9766.0,2013-02-01
Peru,19502.0,2013-02-01
Belgium,16685.0,2013-02-01
Jamaica,8758.0,2013-02-01
Norway,20331.0,2013-02-01
Bahamas,13254.0,2013-02-01
Guatemala,10274.0,2013-02-01
Russia,19259.0,2013-02-01
Honduras,7428.0,2013-02-01
El Salvador,5538.0,2013-02-01
Poland,6956.0,2013-02-01
Austria,12494.0,2013-02-01
Nigeria,5226.0,2013-02-01
Saudi Arabia,7282.0,2013-02-01
Panama,16350.0,2013-02-01
Trinidad And Tobago,7690.0,2013-02-01
Singapore,8447.0,2013-02-01
Turkey,8645.0,2013-02-01
Hong Kong,10220.0,2013-02-01
Portugal,5684.0,2013-02-01
Finland,11933.0,2013-02-01
South Africa,4897.0,2013-02-01
Haiti,6004.0,2013-02-01
Vietnam,2968.0,2013-02-01
United Kingdom,239277.0,2012-02-01
Japan,301527.0,2012-02-01
"China, PRC",66041.0,2012-02-01
South Korea,91386.0,2012-02-01
Brazil,123169.0,2012-02-01
Germany,105493.0,2012-02-01
France,100446.0,2012-02-01
India,38098.0,2012-02-01
Australia,57820.0,2012-02-01
Italy,42060.0,2012-02-01
